key,en,zh-Hant,zh-Hans,ja,ko,es,fr,de,pt,vi,ar,ru
data.buff.stonesplitStrength.Cadence.description,Attempts to grant Riposte whenever Cadence is applied.,每次套用絕韻時嘗試獲得防反。,,,,,,,,,,
data.buff.stonesplitStrength.Cadence.name,Cadence,絕韻,,,,,,,,,,
data.buff.stonesplitStrength.Cadence.shortName,Cad,韻,,,,,,,,,,
data.buff.stonesplitStrength.ChargeEnhancement.description,Burning Heart gains Inner Passion.,焚心獲得內在激情。,,,"마음속 불길로 탈진한 적을 타격하면, 불타는 투지를 얻습니다.",,,,,,,
data.buff.stonesplitStrength.ChargeEnhancement.name,Charge Enhancement,蓄力強化,,,차지 강화,,,,,,,
data.buff.stonesplitStrength.ChargeEnhancement.shortName,CE,蓄,,,차지 강화,,,,,,,
data.buff.stonesplitStrength.Cleftpeak.description,"Increase HP damage by 1% per stack. Additional 8% to Light VC, Heavy VC, Anxi Soldier, and its triggering skill at max stack.",每層提高 1% 氣血傷害。滿層時，輕派生、重派生、安西軍及其觸發技能額外提高 8%。,,,"중첩당 기혈 피해가 1% 증가한다. 최대 중첩에서는 약공격 연계, 강공격 연계, 안서군 및 안서군을 발동한 스킬의 피해가 추가로 8% 증가한다.",,,,,,,
data.buff.stonesplitStrength.Cleftpeak.name,Cleftpeak,斷嶽,,,단악,,,,,,,
data.buff.stonesplitStrength.Cleftpeak.shortName,Cp,嶽,,,단악,,,,,,,
data.buff.stonesplitStrength.Forgetfulness.description,Skip Snowparting LC charge time.,略過斬雪輕擊的蓄力時間。,,,차지 없이 무덤 위 서리를 시전할 수 있다.,,,,,,,
data.buff.stonesplitStrength.Forgetfulness.name,Forgetfulness,忘機,,,망각,,,,,,,
data.buff.stonesplitStrength.Forgetfulness.shortName,For,忘,,,망각,,,,,,,
data.buff.stonesplitStrength.InnerPassion.description,Hasten and increase damage to Burning Heart.,加速焚心並提高其傷害。,,,마음속 불길을 강화한다.,,,,,,,
data.buff.stonesplitStrength.InnerPassion.name,Inner Passion,熱血難涼,,,불타는 투지,,,,,,,
data.buff.stonesplitStrength.InnerPassion.shortName,IP,熱,,,불타는 투지,,,,,,,
data.buff.stonesplitStrength.IronGuard.description,Increases HP damage by 8%.,氣血傷害提高 8%。,,,기혈피해가 8% 증가 합니다.,,,,,,,
data.buff.stonesplitStrength.IronGuard.name,Iron Guard,鐵衣戍魂,,,강철의 무혼,,,,,,,
data.buff.stonesplitStrength.IronGuard.shortName,IG,戍,,,강철의 무혼,,,,,,,
data.buff.stonesplitStrength.MountainSplitter.description,Increase the critical damage of Burning Heart and Anxi Soldier by 10% and gain guaranteed crit.,焚心及安西軍的會心傷害提高 10%，且必定會心。,,,마음속 불길과 안서군의 치명타 피해가 10% 증가하고 반드시 치명타가 발생한다.,,,,,,,
data.buff.stonesplitStrength.MountainSplitter.name,Mountain Splitter,開山,,,개산,,,,,,,
data.buff.stonesplitStrength.MountainSplitter.shortName,MS,開,,,개산,,,,,,,
data.buff.stonesplitStrength.Riposte.description,Reduces the cast time of the next Avalanche by 2 seconds.,下一次崩山的施放時間減少 2 秒。,,,,,,,,,,
data.buff.stonesplitStrength.Riposte.name,Riposte,防反,,,반격,,,,,,,
data.buff.stonesplitStrength.Riposte.shortName,Rip,反,,,반격,,,,,,,
data.buff.stonesplitStrength.ThroatPierced.description,"Gain 2 Physical Penetration and 2% Critical Damage per stack. From T3, Light/Heavy Varied Combos gain an additional 1 Penetration and 1% Critical Damage per stack. From T6, Anxi Soldier and its triggering skill gain the same additional bonus.",每層獲得 2 點外功穿透及 2% 會心傷害。T3 起，輕／重派生每層額外獲得 1 點穿透及 1% 會心傷害。T6 起，安西軍及其觸發技能亦獲得相同的額外加成。,,,,,,,,,,
data.buff.stonesplitStrength.ThroatPierced.name,Throat-Pierced,穿喉,,,관목결,,,,,,,
data.buff.stonesplitStrength.ThroatPierced.shortName,TP,穿,,,관목결,,,,,,,
data.build.bamboocutKite.kiteFullMinBp.name,Full Min Build BP,,,,,,,,,,,
data.build.bamboocutKite.kiteFullyRelayedMax.name,Fully Relayed Max Build,大外全承音配裝,,,승음최대외공빌드,,,,,,,
data.build.bamboocutKite.kiteFullyRelayedMaxBp.name,Fully Relayed Max Build BP,,,,,,,,,,,
data.build.bamboocutKite.kiteFullyRelayedMin.name,Fully Relayed Min Build,,,,,,,,,,,
data.build.bamboocutKite.kiteFullyRelayedMinBp.name,Fully Relayed Min Build BP,,,,,,,,,,,
data.build.empty.name,Empty Build,空白配裝,,,비어있는 빌드,,,,,,,
data.build.silkbindDeluge.delugeFullMinEw.name,Full Min Build Etherwrath,,,,,,,,,,,
data.build.silkbindDeluge.delugeFullyRelayedMaxAffinity.name,Fully Relayed Max Build Affinity,,,,,,,,,,,
data.build.silkbindDeluge.delugeFullyRelayedMaxHw.name,Fully Relayed Max Build Hawkwing,,,,,,,,,,,
data.build.silkbindDeluge.delugeFullyRelayedMaxRw.name,Fully Relayed Max Build Rain Whisper,大外全承音配裝,,,승음최대외공빌드,,,,,,,
data.build.silkbindDeluge.delugeFullyRelayedMinEw.name,Fully Relayed Min Build Etherwrath,,,,,,,,,,,
data.build.silkbindDeluge.delugeFullyRelayedMinRw.name,Fully Relayed Min Build Rain Whisper,,,,,,,,,,,
data.build.stonesplitMight.mightFullMax.name,Full Max Build,,,,,,,,,,,
data.build.stonesplitMight.mightFullyRelayedMax.name,Fully Relayed Max Build,大外全承音配裝,,,승음최대외공빌드,,,,,,,
data.build.stonesplitStrength.mixedFullMin.name,Mixed Full Min Build,,,,,,,,,,,
data.build.stonesplitStrength.mixedFullyRelayedDoubleMin.name,Mixed Fully Relayed Double Min Build,小外小屬雙切全承音配裝,,,승음더블최소외공빌드,,,,,,,
data.build.stonesplitStrength.mixedFullyRelayedMax.name,Mixed Fully Relayed Max Build,大外雙切全承音配裝,,,승음최대외공빌드,,,,,,,
data.build.stonesplitStrength.mixedFullyRelayedMin.name,Mixed Fully Relayed Min Build,小外雙切全承音配裝,,,승음최소외공빌드,,,,,,,
data.build.stonesplitStrength.pureFullyRelayedMax.name,Pure Fully Relayed Max Build,大外純唐全承音配裝,,,승음최대외공빌드,,,,,,,
data.build.stonesplitStrength.pureFullyRelayedMin.name,Pure Fully Relayed Min Build,小外純唐全承音配裝,,,승음최소외공빌드,,,,,,,
data.debuff.bamboocutDust.PhantomChime.description,Reduces Physical Resistance by 2 per stack.,每層降低 2 點外功抗性。,,,중첩당 외공 저항이 2pt 감소한다.,,,,,,,
data.debuff.bamboocutDust.PhantomChime.name,Phantom Chime,幻鳴,,,천군의 함성,,,,,,,
data.debuff.bamboocutDust.PhantomChime.shortName,PC,鳴,,,천함,,,,,,,
data.debuff.bamboocutKite.HeavensMight.description,Increases HP damage from Falcon and Vile Condemned skills by 10%.,,,,,,,,,,,
data.debuff.bamboocutKite.HeavensMight.name,Heaven's Might,,,,,,,,,,,
data.debuff.bamboocutKite.HeavensMight.shortName,Might,威,,,열석 위,,,,,,,
data.debuff.bamboocutKite.VileCondemnedEndCooldown.description,Prevents Vile Condemned from selecting End Hit.,,,,,,,,,,,
data.debuff.bamboocutKite.VileCondemnedEndCooldown.name,Vile Condemned End Cooldown,,,,,,,,,,,
data.debuff.bamboocutKite.VileCondemnedEndCooldown.shortName,End CD,,,,,,,,,,,
data.debuff.bellstrikeSplendor.QiImbalance.description,"Increases Qi damage taken by 10%. Increases global HP damage taken by 8% during exhausted, and an additional 8% for Bellstrike damage.",受到的真氣傷害提高 10%。力竭期間受到的全域氣血傷害提高 8%，鳴金傷害再額外提高 8%。,,,,,,,,,,
data.debuff.bellstrikeSplendor.QiImbalance.name,Qi Imbalance,真氣失衡,,,진기불균형,,,,,,,
data.debuff.bellstrikeSplendor.QiImbalance.shortName,QI,失,,,진기불균형,,,,,,,
data.debuff.bellstrikeUmbra.SoulShaken.description,"Increases DoT damage taken by 5% per stack, plus an additional 5% per stack if the source is Umbra.",每層使受到的持續傷害提高 5%；若來源為暗影，再額外提高 5%。,,,,,,,,,,
data.debuff.bellstrikeUmbra.SoulShaken.name,Soul-Shaken,驚魂,,,,,,,,,,
data.debuff.bellstrikeUmbra.SoulShaken.shortName,SS,驚,,,,,,,,,,
data.debuff.general.Controlled.description,Marks a target as controlled for conditional effects.,將目標標記為受控，以供條件效果判定。,,,,,,,,,,
data.debuff.general.Controlled.name,Controlled,控制,,,제어,,,,,,,
data.debuff.general.Controlled.shortName,Ctl,控,,,제어,,,,,,,
data.debuff.general.Exhausted.description,Increases global damage taken by 10%.,受到的全域傷害提高 10%。,,,,,,,,,,
data.debuff.general.Exhausted.name,Exhausted,氣竭,,,,,,,,,,
data.debuff.general.Exhausted.shortName,Exh,竭,,,,,,,,,,
data.debuff.innerway.QingyisCharmT0.description,Reduces Physical Defense by 0.6% per stack.,每層降低 0.6% 外功防禦。,,,,,,,,,,
data.debuff.innerway.QingyisCharmT0.shortName,BS,恨,,,,,,,,,,
data.debuff.innerway.QingyisCharmT1.description,Reduces Physical Defense by 1.2% per stack.,每層降低 1.2% 外功防禦。,,,,,,,,,,
data.debuff.innerway.QingyisCharmT1.shortName,BS,恨,,,,,,,,,,
data.debuff.innerway.QingyisCharmT6.description,"Reduces Physical Defense by 1.2% per stack. At 5 stacks, additionally reduces Physical Resistance by 10.",每層降低 1.2% 外功防禦。達到 5 層時，額外降低 10 點外功抗性。,,,,,,,,,,
data.debuff.innerway.QingyisCharmT6.shortName,BS,恨,,,,,,,,,,
data.debuff.mystic.LesserToadVenom.name,Lesser Toad Venom,次級蟾毒,,,하급 두꺼비 독,,,,,,,
data.debuff.mystic.LesserToadVenom.shortName,LTV,次蟾,,,하급 독,,,,,,,
data.debuff.mystic.ToadVenom.name,Toad Venom,蟾毒,,,두꺼비 독,,,,,,,
data.debuff.mystic.ToadVenom.shortName,TV,蟾,,,독,,,,,,,
data.debuff.stonesplitMight.Vulnerable.description,"Increases HP and Qi damage taken by 8%, and by an additional 8% for Might.",受到的氣血及真氣傷害提高 8%；對威勢再額外提高 8%。,,,"받는 기혈과 진기 피해가 8% 증가하며, 공격자가 탄식의 검기나 풍뢰의 징표를 사용 중일 경우 추가로 8% 증가한다.",,,,,,,
data.debuff.stonesplitMight.Vulnerable.name,Vulnerable,易傷,,,취약,,,,,,,
data.debuff.stonesplitMight.Vulnerable.shortName,Vul,傷,,,취약,,,,,,,
data.debuff.stonesplitStrength.Dread.description,Increases HP damage taken by 12%.,受到的氣血傷害提高 12%。,,,보스 대상에게 가하는 기혈 데미지가 12% 증가합니다.,,,,,,,
data.debuff.stonesplitStrength.Dread.name,Dread,膽寒,,,전율,,,,,,,
data.debuff.stonesplitStrength.Dread.shortName,Dre,膽,,,전율,,,,,,,
data.debuff.stonesplitStrength.FearfulBlade.description,Reduces attribute resistances by 16 and increases 8% HP damage for Strength,屬性抗性降低 16，且對強勁流派受到的氣血傷害提高 8%。,,,,,,,,,,
data.debuff.stonesplitStrength.FearfulBlade.name,Fearful Blade,懼刃,,,,,,,,,,
data.debuff.stonesplitStrength.FearfulBlade.shortName,FB,懼,,,,,,,,,,
data.divinecraft.Fire.description,HP DMG +1.5%.,氣血傷害 +1.5%。,,,기혈피해 +1.5%.,,,,,,,
data.divinecraft.Fire.name,Fire,火,,,취화유,,,,,,,
data.divinecraft.FirePoison.description,HP DMG +1.5% and Qi DMG +4%.,氣血傷害 +1.5%。治療時獲得 0.8 點耐力，冷卻 3 秒。,,,"기혈 피해 +1.5%, 진기 피해 +4%.",,,,,,,
data.divinecraft.FirePoison.name,Fire-Poison,火毒,,,잿불,,,,,,,
data.divinecraft.FireWater.description,HP DMG +1.5%. Healing grants 0.8 Vitality with a 3s cooldown.,氣血傷害 +1.5%，真氣傷害 +4%。,,,기혈 피해 +1.5%. 치유 시 원기 0.8 회복 (재사용 대기시간 3초).,,,,,,,
data.divinecraft.FireWater.name,Fire-Water,火水,,,화염,,,,,,,
data.divinecraft.None.description,No Divinecraft effect.,無神工效果。,,,천공부여 효과 없음.,,,,,,,
data.divinecraft.None.name,None,無,,,없음,,,,,,,
data.divinecraft.PoisonFire.description,HP DMG +1.4% and Qi DMG +5%.,氣血傷害 +1.4%，真氣傷害 +5%。,,,"기혈 피해 +1.4%, 진기 피해 +5%.",,,,,,,
data.divinecraft.PoisonFire.name,Poison-Fire,毒火,,,독염,,,,,,,
data.divinecraft.PoisonWater.description,"HP DMG +1%, Qi DMG +5%, and healing grants 0.8 Vitality with a 3s cooldown.",氣血傷害 +1%，真氣傷害 +5%；治療時獲得 0.8 點耐力，冷卻 3 秒。,,,"기혈 피해 +1%, 진기 피해 +5%. 치유 시 원기 0.8 회복 (재사용 대기시간 3초).",,,,,,,
data.divinecraft.PoisonWater.name,Poison-Water,毒水,,,응살,,,,,,,
data.divinecraft.WaterFire.description,HP DMG +1.4%. Healing grants 1 Vitality with a 3s cooldown.,氣血傷害 +1.4%。治療時獲得 1 點耐力，冷卻 3 秒。,,,기혈 피해 +1.4%. 치유 시 원기 1 회복 (재사용 대기시간 3초).,,,,,,,
data.divinecraft.WaterFire.name,Water-Fire,水火,,,심연,,,,,,,
data.divinecraft.WaterPoison.description,"HP DMG +1%, Qi DMG +4%, and healing grants 1 Vitality with a 3s cooldown.",氣血傷害 +1%，真氣傷害 +4%；治療時獲得 1 點耐力，冷卻 3 秒。,,,"기혈 피해 +1%, 진기 피해 +4%. 치유 시 원기 1 회복 (재사용 대기시간 3초).",,,,,,,
data.divinecraft.WaterPoison.name,Water-Poison,水毒,,,창해,,,,,,,
data.dot.mystic.Combustion.name,Combustion,爆燃,,,폭연,,,,,,,
data.dot.mystic.Combustion.shortName,Com,燃,,,폭연,,,,,,,
data.dot.mystic.Smolder.name,Smolder,暗灼,,,암작,,,,,,,
data.dot.mystic.Smolder.shortName,Smo,暗灼,,,암작,,,,,,,
data.food.None.name,None,無,,,없음,,,,,,,
data.food.SimmeringFishSlices.name,Simmering Fish Slices,涮魚,,,생선 전골,,,,,,,
data.gear.affixes.hengBladeDmgBoost.name,Art of Heng,橫刀武學增傷,,,횡도피해증가,,,,,,,
data.gear.affixes.moBladeDmgBoost.name,Art of Mo,陌刀武學增傷,,,맥도피해증가,,,,,,,
data.gear.affixes.precision.name,Precision,精準,,,정확도,,,,,,,
data.gearSet.Cleftpeak.name,Cleftpeak,斷嶽,,,단악,,,,,,,
data.gearSet.Etherwrath.name,Etherwrath,,,,정수,,,,,,,
data.gearSet.Hawkwing.name,Hawkwing,,,,속공,,,,,,,
data.gearSet.RainWhisper.name,Rain Whisper,時雨,,,단비,,,,,,,
data.innerway.furyHarvest.name,Fury Harvest,,,,분노의 참격,,,,,,,
data.innerway.insightfulStrike.effect.InsightfulStrikeT0.trigger.0.resource.name,Focus,,,,,,,,,,,
data.innerway.insightfulStrike.name,Insightful Strike,,,,,,,,,,,
data.innerway.royalRemedy.name,Royal Remedy,,,,군신의 묘약,,,,,,,
data.martialArt.heavenwillGauntlets.talent.0.name,Physical Attack Up,外功攻擊提升,,,외공 공격 강화,,,,,,,
data.martialArt.heavenwillGauntlets.talent.1.name,Raptor's Instinct Crit Boost,,,,참매 스킬 치명타 강화,,,,,,,
data.martialArt.heavenwillGauntlets.talent.2.name,Bamboocut Attribute Up,,,,파죽 속성 향상,,,,,,,
data.martialArt.namelessSpear.talent.0.name,Affinity Rate Up,,,,각성 확률 증가,,,,,,,
data.martialArt.namelessSpear.talent.1.name,Max Endurance Up,,,,인내력 한도 증가,,,,,,,
data.martialArt.namelessSpear.talent.2.name,Affinity DMG Up,,,,각성 피해 증가,,,,,,,
data.martialArt.namelessSpear.talent.3.name,Bellstrike Attribute Up,,,,명금 속성 향상,,,,,,,
data.martialArt.namelessSword.talent.0.name,Qi Struggle Enhancement,,,,진기 대결 강화,,,,,,,
data.martialArt.namelessSword.talent.1.name,Physical Attack Up,外功攻擊提升,,,외공 공격 강화,,,,,,,
data.martialArt.namelessSword.talent.2.name,Sword Qi Affinity Enhancement,,,,검기 각성 강화,,,,,,,
data.martialArt.namelessSword.talent.3.name,Bellstrike Attribute Up,,,,명금 속성 향상,,,,,,,
data.martialArt.panaceaFan.talent.0.name,Critical Rate Up,會心率提升,,,치명타 확률 증가,,,,,,,
data.martialArt.panaceaFan.talent.1.name,Heavy Attack Healing Boost,,,,강공격 치유 강화,,,,,,,
data.martialArt.panaceaFan.talent.2.name,Silkbind Attribute Up,,,,견사 속성 향상,,,,,,,
data.martialArt.phalanxbaneBlade.talent.0.name,Critical Rate Up,會心率提升,,,치명타 확률 증가,,,,,,,
data.martialArt.phalanxbaneBlade.talent.1.name,Iron Guard Penetration Up,鐵衛穿透提升,,,수혼 관통 강화,,,,,,,
data.martialArt.phalanxbaneBlade.talent.2.name,Stonesplit Attribute Up,裂石屬性提升,,,열석 속성 향상,,,,,,,
data.martialArt.skygraspRopeDart.talent.0.name,Critical Rate Up,會心率提升,,,치명타 확률 증가,,,,,,,
data.martialArt.skygraspRopeDart.talent.1.name,Heaven's Will DMG Boost,,,,천의 피해 증가 강화,,,,,,,
data.martialArt.skygraspRopeDart.talent.2.name,Bamboocut Attribute Up,,,,파죽 속성 향상,,,,,,,
data.martialArt.snowpartingBlade.talent.0.name,Physical Attack Up,外功攻擊提升,,,외공 공격 강화,,,,,,,
data.martialArt.snowpartingBlade.talent.1.name,Critical DMG Up,會心傷害提升,,,치명타 피해 증가,,,,,,,
data.martialArt.snowpartingBlade.talent.2.name,Stonesplit Attribute Up,裂石屬性提升,,,열석 속성 향상,,,,,,,
data.martialArt.soulshadeUmbrella.talent.0.name,Buff Enhancement,,,,스킬 버프 강화,,,,,,,
data.martialArt.soulshadeUmbrella.talent.1.name,Physical Attack Up,外功攻擊提升,,,외공 공격 강화,,,,,,,
data.martialArt.soulshadeUmbrella.talent.2.name,Critical Heal Enhancement,,,,치명타 치유 강화,,,,,,,
